month,day,year,emdx,viored,k2vk3,delk1,delk2,delwb,k3
01 24 1997,0.0866400,1.22315,1.53482,0.588182,0.377561,1.56624,0.0609107
01 25 1997,0.0873057,1.29330,1.56844,0.558469,0.395550,1.56094,0.0610887
01 27 1997,0.0865699,1.25452,1.54182,0.584359,0.384118,1.56747,0.0611783
01 28 1997,0.0868711,1.22690,1.57335,0.543567,0.362885,1.53873,0.0603041
01 30 1997,0.0873947,1.23992,1.49176,0.604963,0.393249,1.58060,0.0634811
01 31 1997,0.0888652,1.26849,1.50783,0.571353,0.388061,1.56339,0.0642441
02 03 1997,0.0886041,1.29507,1.54629,0.625605,0.409212,1.59624,0.0630525
02 04 1997,0.0887524,1.28164,1.54552,0.623547,0.380765,1.58325,0.0629775
02 05 1997,0.0890989,1.25394,1.52160,0.601100,0.388960,1.57704,0.0639263
02 06 1997,0.0906334,1.29274,1.52131,0.639344,0.437681,1.61361,0.0647530
02 10 1997,0.0870081,1.28793,1.56696,0.601856,0.394701,1.57988,0.0610171
02 11 1997,0.0873294,1.24096,1.53327,0.570589,0.380410,1.55956,0.0617917
02 14 1997,0.0871852,1.28220,1.51367,0.600900,0.410941,1.58649,0.0628892
02 16 1997,0.0869127,1.29994,1.53591,0.537709,0.369074,1.53888,0.0616263
02 17 1997,0.0875535,1.24376,1.51970,0.594402,0.386399,1.57296,0.0625223
03 03 1997,0.0880933,1.27414,1.52040,0.601788,0.408840,1.58597,0.0630321
03 04 1997,0.0910380,1.20099,1.48337,0.616613,0.391168,1.58475,0.0664196
03 05 1997,0.0874371,1.30059,1.54374,0.589884,0.388255,1.57178,0.0617942
03 06 1997,0.0880693,1.30264,1.53614,0.574544,0.385834,1.56382,0.0623666
03 07 1997,0.0886124,1.32363,1.55949,0.570431,0.447024,1.58890,0.0620071
03 11 1997,0.0905073,1.31955,1.48394,0.564261,0.392999,1.56241,0.0670034
03 12 1997,0.0910685,1.28952,1.49394,0.595616,0.412922,1.58507,0.0661881
03 13 1997,0.0891012,1.27711,1.50870,0.594660,0.386167,1.57297,0.0641501
03 14 1997,0.0894867,1.23553,1.48226,0.573264,0.373173,1.55747,0.0649569
03 21 1997,0.0871865,1.32455,1.52496,0.560660,0.393629,1.56106,0.0629652
03 24 1997,0.0872863,2.14837,1.55215,0.300344,0.0248110,1.09347,0.0612749
03 27 1997,0.0885743,1.29510,1.52630,0.575225,0.381888,1.56234,0.0628786
04 08 1997,0.0898501,1.27218,1.52264,0.613081,0.388720,1.58216,0.0647567
04 09 1997,0.0881878,1.26417,1.52666,0.584849,0.376816,1.56440,0.0634601
04 10 1997,0.0879423,1.27422,1.52264,0.591191,0.377372,1.56751,0.0634745
04 14 1997,0.0912746,1.28883,1.49031,0.576559,0.376603,1.56055,0.0665033
04 15 1997,0.0909286,1.31488,1.51646,0.598251,0.379913,1.57179,0.0655170
04 22 1997,0.0887745,1.33447,1.50580,0.570296,0.394814,1.56596,0.0647962
04 28 1997,0.0895850,1.28369,1.51632,0.596228,0.392647,1.57652,0.0650792
04 29 1997,0.0898782,1.31927,1.51082,0.559475,0.370137,1.54968,0.0652067
04 30 1997,0.0905038,1.30357,1.51047,0.564118,0.366683,1.55024,0.0657755
05 01 1997,0.0899308,1.30123,1.52547,0.583574,0.380272,1.56539,0.0649422
05 02 1997,0.0907749,1.28809,1.50474,0.565171,0.378952,1.55641,0.0661654
05 05 1997,0.0908767,1.28493,1.50959,0.569515,0.376055,1.55707,0.0661295
05 07 1997,0.0894706,1.23825,1.52312,0.553090,0.365227,1.54437,0.0641089
05 08 1997,0.0871576,1.26607,1.54569,0.543699,0.375546,1.54481,0.0619031
